Nom de test ;Catégorie de test;Direction métier (Nomination Capgemin/MG2);Répartition (STM/ SSTM / SYNTHESE );Test d'homologation;Pays de commercialisation;Prestation à valider;Sous prestation;Catégorie du Véhicule;Stratégie de Validation;Pourcentage de la nécessité de la réalisation de l'essai;Prix de l'essai en (€);Jalon;Durée de l'essai (Jour);Lieu de réalisation de l'essai;Description de l'essai;Test à faire dans le cadre d'une Mi-vie;Zone de modification;Niveau de modification;Type de moyen;Moyen Dédié /Partagé
Validation Homolo. SCx -+A2:A85 homologation;OPTIMIZE CONSUMPTION AND AUTONOMY;MG2 - DMA;Synthèse;X;Toutes destinations;Aerodynamique;Aérodynamique;M1, N1;Test physique;100%;3000;Industrialisation;10.0;IDIADA Espagne;;Oui;Face avant & Face arrière;Niveau 1 : Face AV (PC +Optiques) + Face ARR + Capot  [Modification légère, Structure véhicule non modifiée];MC - Full test equipment;Dédié 
Mise au point Bruits Parasites;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Bruit ;Bruits Parasites général;Toutes catégories;Test physique;100%;2000;Industrialisation;2;UTAC Oued Zem;;Oui;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Essai étanchéïté dynamique passage au gué 5 et 10 cm;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Europe;Étanchéité;Etanchéité sousbassement ;M1, N1;Test physique;100%;1500;Industrialisation;10.0;UTAC Oued Zem;;Oui;Face avant & Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Essai étancheïté statique renversement accidentel;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Europe;Étanchéité;Étanchéité Console;M1, N1;Test physique;100%;1500;Industrialisation;5.0;UTAC Oued Zem;;Non ;;;MC - Full test equipment;Partagé
Essai étanchéité statique auvent;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Europe;Étanchéité;Étanchéité auvent;M1, N1;Test physique;100%;1500;Industrialisation;5.0;UTAC Oued Zem;;Oui;Face avant (Front-end);Niveau 1 : Face AV (PC +Optiques) + Face ARR + Capot  [Modification légère, Structure véhicule non modifiée];MC - Full test equipment;Partagé
Essai étanchéité dynamique poussière (tunnel);RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Europe;Étanchéité;Étanchéité poussière;M1, N1;Test physique;100%;1450;Industrialisation;10.0;UTAC Oued Zem;;Oui;Face avant & Face Arrière & Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Essai étanchéité dynamique eau / neige;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Europe;Étanchéité;Étanchéité silhouette complète;M1, N1;Test physique;100%;1500;Industrialisation;10.0;IDIADA Espagne;;Oui;Face avant & Face Arrière & Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Essai étanchéité statique eau;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Europe;Étanchéité;Étanchéité silhouette complète;M1, N1;Test physique;100%;1500;Industrialisation;10.0;Usine Stellantis Kénitra ;;Oui;Face avant & Face Arrière & Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Essai étanchéité / condensation projecteurs, feux, feux diurnes;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Étanchéité;Etanchéité Feux ;Toutes catégories;Test physique;100%;1500;Industrialisation;10.0;Belchamp;;Oui;Face avant & Face arrière;Niveau 1 : Face AV (PC +Optiques) + Face ARR + Capot  [Modification légère, Structure véhicule non modifiée];MC - Full test equipment;Partagé
Essai étanchéité statique poussière (cabine);RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Europe;Étanchéité;Etanchéité Poussière;M1, N1;Test physique;100%;1500;Industrialisation;10.0;UTAC Oued Zem;;Oui;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
